pos,vel,cntrl,result
-0.1,-0.03,-0.75,False
-0.13351334122281402,-0.03351334122281401,-0.75,False
-0.1704538088571002,-0.03694046763428619,-0.75,False
-0.21069947419530521,-0.040245665338205,-0.75,False
-0.25408711317233185,-0.04338763897702662,-0.75,False
-0.30040794283310934,-0.0463208296607775,-0.75,False
-0.349405399606896,-0.04899745677378662,-0.75,False
-0.4007756502957373,-0.0513702506888413,-0.75,False
-0.45417137090014614,-0.053395720604408815,-0.75,False
-0.5092090403680334,-0.055037669467887296,-0.75,False
-0.5654795993327367,-0.05627055896470333,-0.75,False
-0.622561877882341,-0.057082278549604286,-0.75,False
-0.680037788874453,-0.05747591099211204,-0.75,False
-0.7375080066811289,-0.057470217806675924,-0.85,False
-0.7947567736757867,-0.05724876699465778,-0.85,False
-0.8514638453890525,-0.05670707171326585,-0.85,False
-0.9073646805734313,-0.05590083518437886,-0.85,False
-0.9622572825783495,-0.05489260200491822,-0.85,False
-1.016005613380636,-0.05374833080228664,-0.85,False
-1.0685398817393403,-0.05253426835870426,-0.85,False
-1.1198542726672782,-0.05131439092793792,-0.85,False
-1.1700028175731656,-0.050148544905887465,-0.85,False
-1.2,0.0,-0.85,False
-1.1990331039591646,0.0009668960408353681,-0.85,False
-1.1970961122791501,0.0019369916800145884,-0.85,False
-1.1941826720292488,0.0029134402499014496,-0.85,False
-1.1902833709698493,0.003899301059399537,-0.85,False
-1.1853858823039773,0.004897488665871927,-0.85,False
-1.1794751645775625,0.005910717726414839,-0.85,False
-1.1725337225447725,0.006941442032790118,-0.85,False
-1.164541936117544,0.007991786427228482,-0.85,False
-1.1554784656716484,0.009063470445895692,-0.85,False
-1.145320742905495,0.010157722766153357,-0.85,False
-1.1340455570348205,0.011275185870674557,-0.85,False
-1.1216297462171096,0.01241581081771082,-0.85,False
-1.1080510035610154,0.013578742656094277,-0.85,False
-1.0932888056826862,0.014762197878329298,-0.75,False
-1.0771754692914859,0.01611333639120019,-0.75,False
-1.0596972361880472,0.017478233103438708,-0.75,False
-1.0408457606025503,0.01885147558549698,-0.75,False
-1.0206197388873117,0.020226021715238664,-0.75,False
-0.9990266597390871,0.02159307914822465,-0.75,False
-0.9760846400827711,0.022942019656316027,-0.75,False
-0.9518242967442542,0.024260343338516933,-0.75,False
-0.9262905878525716,0.025533708891682615,-0.75,False
-0.8995445418081958,0.026746046044375766,-0.75,False
-0.8716647774206839,0.027879764387511857,-0.75,False
-0.8427487086900785,0.028916068730605454,-0.75,False
-0.8129133241720036,0.029835384518074902,-0.75,False
-0.782295436328646,0.030617887843357564,-0.75,False
-0.751051312570929,0.03124412375771688,-0.75,False
-0.71935562759138,0.03169568497954905,-0.75,False
-0.687399715243694,0.03195591234768602,-0.75,False
-0.6553891449511711,0.032010570292522966,-0.75,False
-0.6235406979242346,0.0318484470269364,-0.75,False
-0.5920788665197659,0.031461831404468635,-0.75,False
-0.5612320396301791,0.030846826889586842,-0.75,False
-0.5312285624873853,0.030003477142793847,-0.75,False
-0.5022928669395668,0.028935695547818448,-0.75,False
-0.4746418569229479,0.027651010016618866,-0.75,False
-0.4484817051561415,0.02616015176680642,-0.75,False
-0.42400517515707525,0.024476529999066243,-0.75,False
-0.40138953326383303,0.022615641893242236,-0.75,False
-0.3807950646691119,0.020594468594721152,-0.75,False
-0.36236416120180354,0.01843090346730834,-0.75,False
-0.3462209109612181,0.016143250240585435,-0.75,False
-0.3324710933933091,0.013749817567908978,-0.75,False
-0.32120246868915653,0.011268624704152555,-0.75,False
-0.31248524674534317,0.008717221943813355,-0.75,False
-0.3063726266802108,0.006112620065132336,-0.75,False
-0.30290131095736866,0.0034713157228421438,-0.75,False
-0.30209191644343847,0.0008093945139301818,-0.75,False
-0.30394922641997824,-0.0018573099765397524,-0.75,False
-0.30846225127900456,-0.004513024859026309,-0.75,False
-0.31560409033236725,-0.00714183905336271,-0.75,False
-0.32533161208035705,-0.009727521747989803,-0.75,False
-0.3375849946987375,-0.012253382618380465,-0.75,False
-0.3522871915612879,-0.014702196862550443,-0.75,False
-0.3693434071545222,-0.0170562155932343,-0.75,False
-0.38864068520025086,-0.019297278045728696,-0.75,False
-0.41004772124500444,-0.021407036044753594,-0.75,False
-0.4334150142734646,-0.023367293028460162,-0.75,False
-0.45857546407087596,-0.02516044979741133,-0.75,False
-0.485345501727406,-0.02677003765653003,-0.75,False
-0.5135268096167587,-0.028181307889352705,-0.75,False
-0.5429086457568604,-0.02938183614010165,-0.75,False
-0.5732707388582203,-0.030362093101359986,-0.75,False
-0.6043866694582203,-0.03111593059999997,-0.75,False
-0.6360276053233521,-0.03164093586513181,-0.75,False
-0.6679662219571474,-0.031938616633795276,-0.75,False
-0.6999806168114833,-0.03201439485433589,-0.75,False
-0.7318580218945774,-0.03187740508309414,-0.75,False
-0.7633981344453565,-0.03154011255077917,-0.75,False
-0.7944159169385294,-0.03101778249317289,-0.75,False
-0.8247437613081909,-0.03032784436966156,-0.85,False
-0.8543829619583133,-0.02963920065012234,-0.85,False
-0.8832038763853923,-0.02882091442707898,-0.85,False
-0.9110962937962266,-0.027892417410834227,-0.85,False
-0.9379692221186836,-0.026872928322457072,-0.85,False
-0.9637501755122603,-0.02578095339357666,-0.85,False
